Name : ansama đã tách vật phẩm || Vật phẩm tách: 761 || Số lượng vật phẩm ban đầu 49 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 48 và 1|| Thời gian tách : 2023-02-25 05:02:47
Name : kiemthan đã tách vật phẩm || Vật phẩm tách: 383 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2023-02-25 09:31:54
Name : kiemthan đã tách vật phẩm || Vật phẩm tách: 383 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2023-02-25 09:32:03
Name : trumgv10 đã tách vật phẩm || Vật phẩm tách: 927 || Số lượng vật phẩm ban đầu 4276 || Số lượng tách: 60 || Số lượng vật phẩm sau khi tách: 4216 và 60|| Thời gian tách : 2023-02-25 10:49:07
Name : khongcanbiet đã tách vật phẩm || Vật phẩm tách: 927 || Số lượng vật phẩm ban đầu 9998 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 9988 và 10|| Thời gian tách : 2023-02-25 12:31:48
Name : khongcanbiet đã tách vật phẩm || Vật phẩm tách: 927 || Số lượng vật phẩm ban đầu 9993 || Số lượng tách: 53 || Số lượng vật phẩm sau khi tách: 9940 và 53|| Thời gian tách : 2023-02-25 12:32:31
Name : khongcanbiet đã tách vật phẩm || Vật phẩm tách: 927 || Số lượng vật phẩm ban đầu 9993 || Số lượng tách: 53 || Số lượng vật phẩm sau khi tách: 9940 và 53|| Thời gian tách : 2023-02-25 12:32:35
Name : tinhshin11 đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 3 và 3|| Thời gian tách : 2023-02-25 12:53:13
Name : caicucot đã tách vật phẩm || Vật phẩm tách: 927 || Số lượng vật phẩm ban đầu 3123 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3122 và 1|| Thời gian tách : 2023-02-25 13:53:39
Name : satann đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2023-02-25 14:48:06
Name : heyheyhey đã tách vật phẩm || Vật phẩm tách: 926 || Số lượng vật phẩm ban đầu 5000 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4999 và 1|| Thời gian tách : 2023-02-25 15:00:20
Name : trumgv11 đã tách vật phẩm || Vật phẩm tách: 649 || Số lượng vật phẩm ban đầu 48469 || Số lượng tách: 10000 || Số lượng vật phẩm sau khi tách: 38469 và 10000|| Thời gian tách : 2023-02-25 16:25:12
Name : trumgv11 đã tách vật phẩm || Vật phẩm tách: 651 || Số lượng vật phẩm ban đầu 41172 || Số lượng tách: 10000 || Số lượng vật phẩm sau khi tách: 31172 và 10000|| Thời gian tách : 2023-02-25 16:25:19
Name : trumgv11 đã tách vật phẩm || Vật phẩm tách: 650 || Số lượng vật phẩm ban đầu 41270 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 41250 và 20|| Thời gian tách : 2023-02-25 16:27:02
Name : trumgv11 đã tách vật phẩm || Vật phẩm tách: 650 || Số lượng vật phẩm ban đầu 41250 || Số lượng tách: 20000 || Số lượng vật phẩm sau khi tách: 21250 và 20000|| Thời gian tách : 2023-02-25 16:27:11
Name : killer đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2023-02-25 16:28:54
Name : trumgv11 đã tách vật phẩm || Vật phẩm tách: 651 || Số lượng vật phẩm ban đầu 31172 || Số lượng tách: 20000 || Số lượng vật phẩm sau khi tách: 11172 và 20000|| Thời gian tách : 2023-02-25 16:44:44
Name : trumgv11 đã tách vật phẩm || Vật phẩm tách: 649 || Số lượng vật phẩm ban đầu 38469 || Số lượng tách: 20000 || Số lượng vật phẩm sau khi tách: 18469 và 20000|| Thời gian tách : 2023-02-25 16:45:05
Name : mobifone đã tách vật phẩm || Vật phẩm tách: 539 || Số lượng vật phẩm ban đầu 80 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 70 và 10|| Thời gian tách : 2023-02-25 17:34:19
Name : mobifone đã tách vật phẩm || Vật phẩm tách: 539 || Số lượng vật phẩm ban đầu 70 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 60 và 10|| Thời gian tách : 2023-02-25 17:34:23
Name : vailoz đã tách vật phẩm || Vật phẩm tách: 384 || Số lượng vật phẩm ban đầu 36 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 26 và 10|| Thời gian tách : 2023-02-25 18:45:46
Name : vailoz đã tách vật phẩm || Vật phẩm tách: 384 || Số lượng vật phẩm ban đầu 26 || Số lượng tách: 13 || Số lượng vật phẩm sau khi tách: 13 và 13|| Thời gian tách : 2023-02-25 18:49:32
Name : manmis đã tách vật phẩm || Vật phẩm tách: 539 || Số lượng vật phẩm ban đầu 63 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 60 và 3|| Thời gian tách : 2023-02-25 19:47:52
